Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
9694	Castelfed-4-210	Italy	46.34	11.29	CS78891	leaf	Italy_leaf	14.66537057	1499.196573	4442.322012	15731.25003	12429.01844	70996.30837	43385.9804	240.6254989	144.4299346	2.242923386	7.863076383	110.577868	1.019900752	61.68363659	387.8436434	73.99559858	5.2141301	2.674153774
9695	Castelfed-4-211	Italy	46.34	11.29	CS78892	leaf	Italy_leaf	13.9085921	1046.969446	4894.311591	13453.29363	14139.66918	65091.60859	41853.51096	255.2513056	141.1377204	3.28372509	7.971083703	93.27962689	0.978090268	83.57187805	338.3296102	69.004288	1.874399269	2.874562295
9696	Castelfed-4-214	Italy	46.34	11.29	CS78893	leaf	Italy_leaf	14.38206186	1592.991201	5156.256965	15278.55707	12344.15258	64729.52325	44224.38783	215.9130365	143.3613119	2.110465446	8.161869899	95.40900483	0.97841203	63.77747325	371.1892023	78.54769351	4.718774536	2.549740283
9697	Dolen-1	BUL	41.62	23.94	CS76802	leaf	BUL_leaf	15.21948765	943.1171318	4671.989472	14913.34062	13198.34128	71277.49322	37510.46649	220.1211463	138.452868	2.449060816	6.946867801	89.64524603	1.133987141	80.30200042	396.6450715	62.18955967	9.230688413	2.22829729
9698	Goced-1	BUL	41.57	23.85	CS76882	leaf	BUL_leaf	13.79441669	1169.983932	4759.543507	15063.04909	13762.08662	72124.90177	39580.97109	224.2634236	142.0281972	2.981223139	7.390692687	92.7439896	0.951894906	79.33883894	396.3540991	72.29221037	4.166709262	2.744582473
9699	Kolar-1	BUL	41.37	23.14	CS76974	leaf	BUL_leaf	14.11331816	1136.002048	4737.887411	15973.80052	10780.37296	72043.69503	41245.80699	224.9219706	142.0420814	2.391173838	7.044706533	92.5901202	1.050188193	55.85973045	402.8638867	72.28184745	2.554795424	2.34500325
9700	Dolna-1-10	BUL	42.32	23.1	CS76803	leaf	BUL_leaf	14.04592128	978.2263474	4931.723329	15494.86516	12828.53688	74755.91958	42332.73237	228.608661	139.6645335	2.534036377	6.94475813	91.24822779	1.029683204	62.9761347	401.1388791	68.70288045	5.94927219	2.520072636
9701	Ivano-1	BUL	43.7	25.91	CS76954	leaf	BUL_leaf	14.95751718	1242.614974	4299.168464	14277.52803	13804.93778	69427.4109	42637.24816	247.0113551	139.723091	1.902817082	7.932463235	108.6127106	0.994039061	75.49847343	409.6771214	68.20126467	4.295562182	2.530686548
9702	Kolar-2	BUL	41.38	23.14		leaf	BUL_leaf	14.334024	1061.202247	5130.708047	14244.71946	14422.78471	66048.88776	40320.17397	246.0843375	135.0547347	3.083585913	6.715816851	101.0216299	1.016618729	94.08288429	404.1314882	71.20387573	1.315025562	2.486117451
9703	Melni-1	BUL	41.53	23.39	CS77079	leaf	BUL_leaf	14.31421714	827.3166829	4745.065841	16670.83647	14269.66271	66484.32969	42863.19419	222.2404916	145.1970176	2.966087103	8.126541167	93.85370141	1.109651019	69.64616016	396.158955	74.0876813	5.655123166	2.439706226
